"Mês/ano";"RO";"PA";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"GO";"DF";"IG";"Total"
"2005/Out";-;93;649;-;41;52;679;768;2361;831;2294;3136;367;4;-;19;-;-;-;-;11294
"2005/Nov";-;30;374;-;32;31;682;728;1818;992;2113;2144;381;1;-;13;1;-;-;-;9340
"2005/Dez";3;6;850;-;26;245;615;509;676;959;1035;1127;506;2;-;6;-;-;-;-;6565
"2006/Jan";6;63;283;-;3;15;34;980;1235;815;1906;2346;297;2;-;-;-;-;-;-;7985
"2006/Fev";1;30;357;1;20;466;102;1046;1172;967;1954;2593;149;3;-;6;1;1;-;-;8869
"2006/Mar";5;26;476;-;30;174;601;1461;2031;1531;2451;2519;467;17;-;10;-;2;-;-;11801
"2006/Abr";2;17;258;-;14;301;215;730;1721;1166;1588;2120;255;7;-;19;-;8;-;-;8421
"2006/Mai";2;50;437;1;13;120;359;993;2189;1547;3597;4030;596;6;-;11;-;-;-;-;13951
"2006/Jun";-;12;843;1;12;52;67;927;994;933;1622;2250;347;1;-;10;-;-;-;-;8071
"2006/Jul";2;28;771;-;25;44;745;998;2532;999;2523;2142;488;19;-;93;-;-;-;-;11409
"2006/Ago";-;114;1086;-;82;171;597;1468;2977;1571;2085;2851;541;1;-;12;2;-;-;-;13558
"2006/Set";7;77;1096;1;38;263;538;831;1722;973;1970;2527;239;2;-;26;-;-;-;-;10310
"2006/Out";1;59;539;1;20;54;660;852;2578;1107;1841;2383;187;4;-;24;-;-;-;-;10310
"2006/Nov";5;59;1335;1;11;16;577;902;1223;1180;1047;1861;164;19;-;16;-;-;-;-;8416
"2006/Dez";3;55;291;-;14;14;257;510;959;1277;732;656;452;3;-;31;-;-;-;-;5254
"2007/Jan";4;15;166;-;66;13;-;547;1030;1321;1726;1123;225;1;-;1;-;-;-;-;6238
"2007/Fev";5;20;277;-;9;148;48;591;808;1101;1411;1251;154;1;-;20;-;-;-;-;5844
"2007/Mar";-;29;423;2;27;784;365;1290;1845;1411;2785;2880;308;1;-;21;-;-;-;-;12171
"2007/Abr";-;18;411;1;23;332;249;955;1670;1218;1259;1859;353;-;-;35;-;-;-;-;8383
"2007/Mai";2;19;976;1;13;169;450;1075;1560;1106;1799;2413;407;-;-;6;-;-;-;-;9996
"2007/Jun";-;21;434;-;20;96;248;963;1379;927;721;2207;293;-;-;20;-;-;-;-;7329
"2007/Jul";3;6;601;-;11;292;688;1816;1877;1506;1436;2332;443;-;-;68;-;-;-;-;11079
"2007/Ago";-;120;546;-;8;124;1020;1495;1932;1454;1486;2141;320;1;-;17;-;-;-;-;10664
